r311c00;"Raum 311";10.3.11.0;ec:b1:d7:68:e0:40;;;
r311c01;"Raum 311";10.3.11.1;ec:b1:d7:6b:a6:9a;;;
r311c02;"Raum 311";10.3.11.2;ec:b1:d7:68:67:08;;;
r311c03;"Raum 311";10.3.11.3;ec:b1:d7:68:64:ae;;;
r311c04;"Raum 311";10.3.11.4;ec:b1:d7:69:8c:29;;;
r311c05;"Raum 311";10.3.11.5;ec:b1:d7:63:e9:ea;;;
r311c06;"Raum 311";10.3.11.6;ec:b1:d7:6a:d3:87;;;
r311c07;"Raum 311";10.3.11.7;ec:b1:d7:67:fb:10;;;
r311c08;"Raum 311";10.3.11.8;ec:b1:d7:68:66:ad;;;
r311c09;"Raum 311";10.3.11.9;00:19:99:89:5d:46;;;
r311c10;"Raum 311";10.3.11.10;00:19:99:89:5d:e7;;;
r311c11;"Raum 311";10.3.11.11;ec:b1:d7:6a:dc:87;;;
r311c12;"Raum 311";10.3.11.12;ec:b1:d7:69:8c:a7;;;
r311c13;"Raum 311";10.3.11.13;ec:b1:d7:6b:72:f4;;;
r311c14;"Raum 311";10.3.11.14;ec:b1:d7:68:67:96;;;
r311c15;"Raum 311";10.3.11.15;ec:b1:d7:64:28:d1;;;
r311c16;"Raum 311";10.3.11.16;ec:b1:d7:69:dd:df;;;
r311c17;"Raum 311";10.3.11.17;ec:b1:d7:65:08:e0;;;
r311c18;"Raum 311";10.3.11.18;00:19:99:8a:bc:28;;;
r312c00;"Raum 312";10.3.12.0;c4:65:16:af:9a:d2;;;
r312c01;"Raum 312";10.3.12.1;9c:8e:99:cf:86:0d;;;
r312c02;"Raum 312";10.3.12.2;9c:8e:99:ca:98:d7;;;
r312c03;"Raum 312";10.3.12.3;9c:8e:99:ca:e1:52;;;
r312c04;"Raum 312";10.3.12.4;9c:8e:99:ca:b8:d8;;;
r312c05;"Raum 312";10.3.12.5;9c:8e:99:ca:cc:bf;;;
r312c06;"Raum 312";10.3.12.6;50:65:f3:4d:97:bc;;;
r312c07;"Raum 312";10.3.12.7;9c:8e:99:d1:a4:4f;;;
r312c08;"Raum 312";10.3.12.8;9c:8e:99:cf:08:de;;;
r312c09;"Raum 312";10.3.12.9;9c:8e:99:cf:03:da;;;
r312c10;"Raum 312";10.3.12.10;9c:8e:99:cf:ae:a6;;;
r312c11;"Raum 312";10.3.12.11;08:2e:5f:00:37:9f;;;
r312c12;"Raum 312";10.3.12.12;9c:8e:99:db:d5:e1;;;
r312c14;"Raum 312";10.3.12.14;00:19:99:b3:7f:14;;;
r312c15;"Raum 312";10.3.12.15;00:19:99:ad:48:af;;;
r312c16;"Raum 312";10.3.12.16;00:19:99:ab:f0:25;;;
r312c17;"Raum 312";10.3.12.17;00:19:99:ad:2b:f5;;;
r312c18;"Raum 312";10.3.12.18;00:19:99:b3:7c:53;;;
r312c19;"Raum 312";10.3.12.19;00:19:99:b4:c3:92;;;
r312c20;"Raum 312";10.3.12.20;00:19:99:ac:0e:2c;;;
r312c21;"Raum 312";10.3.12.21;00:19:99:b4:c2:45;;;
r312c22;"Raum 312";10.3.12.22;00:19:99:ad:22:4f;;;
r312c23;"Raum 312";10.3.12.23;00:19:99:b4:9d:fe;;;
r312c24;"Raum 312";10.3.12.24;00:19:99:ac:05:3e;;;
r312c25;"Raum 312";10.3.12.25;00:19:99:b4:9d:41;;;
r312c26;"Raum 312";10.3.12.26;00:19:99:b5:59:4f;;;
r312c27;"Raum 312";10.3.12.27;00:19:99:ad:4e:ce;;;
r312c28;"Raum 312";10.3.12.28;00:19:99:ad:55:5b;;;
r312c29;"Raum 312";10.3.12.29;00:19:99:ad:50:85;;;
r312c30;"Raum 312";10.3.12.30;00:19:99:b3:7a:e9;;;
r312c31;"Raum 312";10.3.12.31;00:19:99:b4:a0:9f;;;
r313c00;"Raum 313";10.3.13.0;64:51:06:61:19:04;;;
r313c01;"Raum 313";10.3.13.1;00:19:99:91:78:eb;;;
r313c02;"Raum 313";10.3.13.2;00:19:99:91:79:38;;;
r313c03;"Raum 313";10.3.13.3;00:19:99:90:df:87;;;
r313c04;"Raum 313";10.3.13.4;00:19:99:91:79:3d;;;
r313c05;"Raum 313";10.3.13.5;00:19:99:95:25:6f;;;
r313c06;"Raum 313";10.3.13.6;00:19:99:90:d8:9c;;;
r313c07;"Raum 313";10.3.13.7;00:19:99:91:78:fd;;;
r313c08;"Raum 313";10.3.13.8;00:19:99:91:79:40;;;
r313c09;"Raum 313";10.3.13.9;00:19:99:90:df:1e;;;
r313c10;"Raum 313";10.3.13.10;00:19:99:91:78:f9;;;
r313c11;"Raum 313";10.3.13.11;00:19:99:90:d8:94;;;
r313c12;"Raum 313";10.3.13.12;00:19:99:91:79:16;;;
r313c13;"Raum 313";10.3.13.13;00:19:99:8a:bc:08;;;
r313c14;"Raum 313";10.3.13.14;00:19:99:91:79:47;;;
r313c15;"Raum 313";10.3.13.15;00:19:99:91:79:20;;;
r313c16;"Raum 313";10.3.13.16;00:19:99:91:79:36;;;
r313c17;"Raum 313";10.3.13.17;00:19:99:91:79:0b;;;
r313c18;"Raum 313";10.3.13.18;00:19:99:91:79:de;;;
r313c19;"Raum 313";10.3.13.19;00:19:99:91:79:2c;;;
r313c20;"Raum 313";10.3.13.20;00:19:99:90:df:98;;;
r313c21;"Raum 313";10.3.13.21;00:19:99:89:5d:27;;;
r313c22;"Raum 313";10.3.13.22;00:19:99:8a:bb:ed;;;
r313c23;"Raum 313";10.3.13.23;00:19:99:89:5d:3a;;;
r313c24;"Raum 313";10.3.13.24;00:19:99:79:cd:2e;;;
r313c25;"Raum 313";10.3.13.25;00:19:99:89:5d:3b;;;
r313c26;"Raum 313";10.3.13.26;00:19:99:89:5c:fa;;;
r313c27;"Raum 313";10.3.13.27;00:19:99:89:5c:f6;;;
r313c28;"Raum 313";10.3.13.28;40:a8:f0:b1:5b:9c;;;
r313c29;"Raum 313";10.3.13.29;00:19:99:a0:8e:e4;;;
r313c30;"Raum 313";10.3.13.30;00:19:99:a0:8e:2b;;;
