r311c01;"Raum 311";10.3.11.1;ec:b1:d7:6b:a6:9a;;;
r311c02;"Raum 311";10.3.11.2;ec:b1:d7:68:67:08;;;
r311c03;"Raum 311";10.3.11.3;ec:b1:d7:68:64:ae;;;
r311c04;"Raum 311";10.3.11.4;ec:b1:d7:69:8c:29;;;
r311c05;"Raum 311";10.3.11.5;ec:b1:d7:63:e9:ea;;;
r311c06;"Raum 311";10.3.11.6;ec:b1:d7:6a:d3:87;;;
r311c07;"Raum 311";10.3.11.7;ec:b1:d7:67:fb:10;;;
r311c08;"Raum 311";10.3.11.8;ec:b1:d7:68:66:ad;;;
r311c09;"Raum 311";10.3.11.9;00:19:99:89:5d:46;;;
r311c10;"Raum 311";10.3.11.10;00:19:99:89:5d:e7;;;
r311c11;"Raum 311";10.3.11.11;ec:b1:d7:6a:dc:87;;;
r311c12;"Raum 311";10.3.11.12;ec:b1:d7:69:8c:a7;;;
r311c13;"Raum 311";10.3.11.13;ec:b1:d7:6b:72:f4;;;
r311c14;"Raum 311";10.3.11.14;ec:b1:d7:68:67:96;;;
r311c15;"Raum 311";10.3.11.15;ec:b1:d7:64:28:d1;;;
r311c16;"Raum 311";10.3.11.16;ec:b1:d7:69:dd:df;;;
r311c17;"Raum 311";10.3.11.17;ec:b1:d7:65:08:e0;;;
r311c18;"Raum 311";10.3.11.18;00:19:99:8a:bc:28;;;
