r313c01;"Raum 313";10.3.13.1;00:19:99:91:78:eb;;;
r313c02;"Raum 313";10.3.13.2;00:19:99:91:79:38;;;
r313c03;"Raum 313";10.3.13.3;00:19:99:90:df:87;;;
r313c04;"Raum 313";10.3.13.4;00:19:99:91:79:3d;;;
r313c05;"Raum 313";10.3.13.5;00:19:99:95:25:6f;;;
r313c06;"Raum 313";10.3.13.6;00:19:99:90:d8:9c;;;
r313c07;"Raum 313";10.3.13.7;00:19:99:91:78:fd;;;
r313c08;"Raum 313";10.3.13.8;00:19:99:91:79:40;;;
r313c09;"Raum 313";10.3.13.9;00:19:99:90:df:1e;;;
r313c10;"Raum 313";10.3.13.10;00:19:99:91:78:f9;;;
r313c11;"Raum 313";10.3.13.11;00:19:99:90:d8:94;;;
r313c12;"Raum 313";10.3.13.12;00:19:99:91:79:16;;;
r313c13;"Raum 313";10.3.13.13;00:19:99:8a:bc:08;;;
r313c14;"Raum 313";10.3.13.14;00:19:99:91:79:47;;;
r313c15;"Raum 313";10.3.13.15;00:19:99:91:79:20;;;
r313c16;"Raum 313";10.3.13.16;00:19:99:91:79:36;;;
r313c17;"Raum 313";10.3.13.17;00:19:99:91:79:0b;;;
r313c18;"Raum 313";10.3.13.18;00:19:99:91:79:de;;;
r313c19;"Raum 313";10.3.13.19;00:19:99:91:79:2c;;;
r313c20;"Raum 313";10.3.13.20;00:19:99:90:df:98;;;
r313c21;"Raum 313";10.3.13.21;00:19:99:89:5d:27;;;
r313c22;"Raum 313";10.3.13.22;00:19:99:8a:bb:ed;;;
r313c23;"Raum 313";10.3.13.23;00:19:99:89:5d:3a;;;
r313c24;"Raum 313";10.3.13.24;00:19:99:79:cd:2e;;;
r313c25;"Raum 313";10.3.13.25;00:19:99:89:5d:3b;;;
r313c26;"Raum 313";10.3.13.26;00:19:99:89:5c:fa;;;
r313c27;"Raum 313";10.3.13.27;00:19:99:89:5c:f6;;;
r313c28;"Raum 313";10.3.13.28;40:a8:f0:b1:5b:9c;;;
r313c29;"Raum 313";10.3.13.29;00:19:99:a0:8e:e4;;;
r313c30;"Raum 313";10.3.13.30;00:19:99:a0:8e:2b;;;
